Campaign,Ad group,Keyword,Criterion Type,Keyword status
DH-Brand,Brand-KW,免費 app,Broad match,Enabled
DH-Brand,Brand-KW,下載,Broad match,Enabled
DH-Brand,Brand-KW,自己學,Broad match,Enabled
DH-Brand,Brand-KW,課程,Broad match,Enabled
DH-Brand,Brand-KW,招聘,Broad match,Enabled
DH-Brand,Brand-KW,兼職,Broad match,Enabled
DH-Brand,Brand-KW,遊戲,Broad match,Enabled
DH-FullReading,Ziwei-Full,免費 app,Broad match,Enabled
DH-FullReading,Ziwei-Full,下載,Broad match,Enabled
DH-FullReading,Ziwei-Full,自己學,Broad match,Enabled
DH-FullReading,Ziwei-Full,課程,Broad match,Enabled
DH-FullReading,Ziwei-Full,書籍,Broad match,Enabled
DH-FullReading,Ziwei-Full,星座 每日,Broad match,Enabled
DH-FullReading,Ziwei-Full,youtube,Broad match,Enabled
DH-FullReading,Ziwei-Full,抖音,Broad match,Enabled
DH-FullReading,Ziwei-Full,遊戲,Broad match,Enabled
DH-DateNameFeng,Wedding-Date,免費,Broad match,Enabled
DH-DateNameFeng,Wedding-Date,自己,Broad match,Enabled
DH-DateNameFeng,Wedding-Date,軟件,Broad match,Enabled
DH-Tools,Free-Chart,招聘,Broad match,Enabled
DH-Tools,Free-Chart,兼職,Broad match,Enabled
DH-Tools,Free-Chart,大陸,Broad match,Enabled
